transect,cam,transect_cam,mission,n_distance_annotations,reference_dir,n_reference_clips,status,note
162,16,162_cam016,M3,593,videos/reference/mission_3_phase_3_pss/EQUIPE_2/Ref/T162/Ref_cam16,2,found,
163,93,163_cam093,M3,128,videos/reference/mission_3_phase_3_pss/EQUIPE_2/Ref/T163/Ref_cam93,2,found,
165,10,165_cam010,M3,797,videos/reference/mission_3_phase_3_pss/EQUIPE_2/Ref/T165/Ref_cam10,2,found,
166,37,166_cam037,M3,605,videos/reference/mission_3_phase_3_pss/EQUIPE_4/Ref/T166/Ref_cam37,3,found,
167,13,167_cam013,M3,1194,videos/reference/mission_3_phase_3_pss/EQUIPE_4/Ref/T167/Ref_cam13,3,found,
167,76,167_cam076,M3,1263,videos/reference/mission_3_phase_3_pss/EQUIPE_4/Ref/T167/Ref_cam76,3,found,
168,57,168_cam057,M3,17,videos/reference/mission_3_phase_3_pss/EQUIPE_4/Ref/T168/Ref_cam57,3,found,
169,36,169_cam036,M3,278,videos/reference/mission_3_phase_3_pss/EQUIPE_4/Ref/T169/Ref_cam36,4,found,
169,124,169_cam124,M3,390,videos/reference/mission_3_phase_3_pss/EQUIPE_4/Ref/T169/Ref_cam124,2,found,
170,105,170_cam105,M3,682,videos/reference/mission_3_phase_3_pss/EQUIPE_4/Ref/T170/Ref_cam105,3,found,
171,44,171_cam044,M3,225,videos/reference/mission_3_phase_3_pss/EQUIPE_4/Ref/T171/Ref_cam44,2,found,
171,122,171_cam122,M3,686,videos/reference/mission_3_phase_3_pss/EQUIPE_4/Ref/T171/Ref_cam122,3,found,
172,135,172_cam135,M3,106,videos/reference/mission_3_phase_3_pss/EQUIPE_4/Ref/T172/Ref_cam135,2,found,
174,36,174_cam036,M3,35,videos/reference/mission_3_phase_3_pss/EQUIPE_4/Ref/T174/Ref_Cam36,2,found,
174,54,174_cam054,M3,109,videos/reference/mission_3_phase_3_pss/EQUIPE_4/Ref/T174/Ref_cam54,2,found,
175,23,175_cam023,M3,109,videos/reference/mission_3_phase_3_pss/EQUIPE_1/Ref/T175/Ref_cam023,2,found,
175,52,175_cam052,M3,941,videos/reference/mission_3_phase_3_pss/EQUIPE_1/Ref/T175/Ref_cam052,2,found,
177,19,177_cam019,M3,31,videos/reference/mission_3_phase_3_pss/EQUIPE_4/Ref/T177/Ref_cam19,2,found,
178,2,178_cam002,M3,110,videos/reference/mission_3_phase_3_pss/EQUIPE_1/Ref/T178/Ref_cam02,2,found,
178,3,178_cam003,M3,742,videos/reference/mission_3_phase_3_pss/EQUIPE_1/Ref/T178/Ref_cam03,2,found,
179,20,179_cam020,M3,128,videos/reference/mission_3_phase_3_pss/EQUIPE_1/Ref/T179/Ref_cam020,2,found,
179,85,179_cam085,M3,3,videos/reference/mission_3_phase_3_pss/EQUIPE_1/Ref/T179/Ref_cam85,2,found,
180,112,180_cam112,M3,1158,videos/reference/mission_3_phase_3_pss/EQUIPE_1/Ref/T180/Ref_cam0112,2,found,
181,40,181_cam040,M3,325,videos/reference/mission_3_phase_3_pss/EQUIPE_1/Ref/T181/Ref_cam040,2,found,
182,68,182_cam068,M3,1002,videos/reference/mission_3_phase_3_pss/EQUIPE_1/Ref/T182/Ref_cam068,4,found,
182,97,182_cam097,M3,254,videos/reference/mission_3_phase_3_pss/EQUIPE_1/Ref/T182/Ref_cam097,2,found,
184,62,184_cam062,M3,79,videos/reference/mission_3_phase_3_pss/EQUIPE_1/Ref/T184/Ref_cam062,2,found,
184,151,184_cam151,M3,57,videos/reference/mission_3_phase_3_pss/EQUIPE_1/Ref/T184/Ref_cam151,2,found,
185,141,185_cam141,M3,738,videos/reference/mission_3_phase_3_pss/EQUIPE_1/Ref/T185/Ref_cam141,2,found,
186,52,186_cam052,M4,856,videos/reference/mission_4_phase_3_pss/Ref/T-186/cam_52,2,found,
188,4,188_cam004,M4,77,videos/reference/mission_4_phase_3_pss/Ref/T-188/Cam-04,2,found,
190,37,190_cam037,M4,25,videos/reference/mission_4_phase_3_pss/Ref/T-190/Cam-37,2,found,
191,132,191_cam132,M4,3589,videos/reference/mission_4_phase_3_pss/Ref/T-191/Cam-117,2,relabelled,"folder cam label wrong: clips dated 2024-10-20, same day/13 min after last regular clip of 191_Cam0132"
192,45,192_cam045,M4,284,videos/reference/mission_4_phase_3_pss/Ref/T-192/Cam-45,2,found,
192,70,192_cam070,"M4,M4_M5",116,videos/reference/mission_4_phase_3_pss/Ref/T-192/Cam-70,2,found,
193,103,193_cam103,M4,12,videos/reference/mission_4_phase_3_pss/Ref/T-193/Cam-103,2,found,
195,12,195_cam012,M4,29,videos/reference/mission_4_phase_3_pss/Ref/T-195/Cam-12,4,found,
197,117,197_cam117,M4,175,videos/reference/mission_4_phase_3_pss/Ref/T-197/Cam-108,2,relabelled,"folder cam label wrong: clips dated 2024-10-15, same day as last regular clip of 197_Cam0117; cam108 never deployed in M4"
